Thread Size,Cable Type,Number of Lamps,Temperature Range,Dimmable,Box Type,Head Type,Enclosure,Wall Thickness,Beam Type,Packaging Type,Minimum Operating Temperature,Gauge Thickness,Color Temperature,Nominal Size,Hub Size,Humidity Range,Tensile Strength,Overall Length,Total Harmonic Distortion,Series,Duct Diameter,Housing Width,Flange Width,Price,Voltage Rating,Fixture Type,Hex Size,Motion Sensing,Gauge,Light Color,Low Lead Compliance,Flange Thickness,Rod Size,Sensor Type,Bolt Hole Size,Fan Motor Wattage,Strands,Average Life,Mounting Type,Element Material,url,On Hand,Current/Amps,Category,Insulation Material,Housing Material,Grille Material,Nipple Type,Slot Size,Power Rating,Insulated/Non-Insulated,Connection Type,Description,Flexibility,Operation Type,Number of Pieces,Diameter,Cable Tap,Humidity Sensing,Model,Cord Diameter,Details,Connector Type,ELEMENT MATERIAL,Finish,Abrasive Material,Liner Material,Amperage Rating,Shape,Form,Dielectric Strength,Blow-Off Size,Power Factor,Conduit Size,Capacity,Number of Knockouts,Adhesive Material,Hub Diameter,Timing Range,Cutout,Cord Size,Feed Type,BODY MATERIAL,Fixture Wattage,Pressure Rating,Short Circuit Current Rating,Tap Quantity,Drive Type,Flow Path,Mounting Orientation,Schedule Rating,Max. Pressure (PSI),Stages Heat,Composition,Number of Heads,Length,Element Size,Tongue Size,Supplier,Actuator,Hole Size,Grille Length,Media,Electrical Ratings,Start Type,Container Size,Specifications,Number of Hubs,Number of Gangs,Style,Orientation,Number of Cables,Number of Outlets,Cable Openings,Conductor Material,Sones,Specifications Met,Ballast Factor,Phase,Number of Poles,Head Size,Bolt Circle Diameter,Number of Holes,Angle,Construction,Conductor Type,Flow Rate,Terminal Type,Operation Mode,Supplemental Files,Lamp Base Type,KSCdirect Part #,Container Type,Body Material,Depth,Length Through Hub,Flammability Rating,Radius,Voltage,Lamp Wattage,Peak Surge Current,Insulation,Diameter - Thread Size,Width,Jacket Color,Control,Housing Finish,Flash Point,Ball Material,Fan Switching,Port Type,Bundle Diameter,Number of Ports,Tube Size,Roll Length,Manufacturer,Point Size,Family,Lamp Base,Point Type,TYPE,Number of Jaws,Dimensions,Plug Type,Roll Width,Drive Size,Specific Gravity,Type,Outside Diameter,Max Pressure,Knockout Size,Stud Size,Bar Length,Operation,UPC,Pipe Size,Standard Pack,Wire Type,Action,Module Type,Spring Type,Grit,Contact Configuration,Stem & Pin Material,Stages Cool,Min. Pressure (PSI),Material Type,Method of Manufacture,Resistance,AC Cable Size,Actuator Type,Width (In.),Air Flow Rate,Core Diameter,Ballast Type,Trade Size,NEMA Rating,Contact Form,Frequency Rating,Legend Color,Ceiling Opening,Number of Stages,Recommended Torque,Terminal Designations,Disc Material,Maximum Steady Load,THREAD TYPE,Pressure Class,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Incandescent Equivalent,Measurement System,Mounting,Shell Style,Grille Width,MFG Part #,Time Setting,Lamp Finish,Load Capacity,Contact Rating,Material,Thermostat Type,Class,Lighting Technology,Odor/Scent,Pipe Size NPT,Color Rendering Index (CRI),Nominal Discharge Current,Inlet to Outlet Length,Lamp Type,Operating Cycles,Number of Wires,Cord Length,Tab Size,Display Type,Thread Type,Designation,Tungsten Rating,Softgoods Material,Slot Spacing,Jacket Material,Trip Type,Environmental Conditions,End Style,Number of Conductors,Horsepower,Adhesion Strength,Cover Type,Barrel Type,Depth (In.),Grade,Hand Wheel Diameter,Minimum Starting Temperature,Power Source,Orifice Size,Top to Inlet Center,Tap Size,AC/DC,Conductor Size,Lock Mechanism,Light Output,Cable Size,Size,Housing Height,Wire Size,Actuation Type,Maximum Operating Temperature,Enclosure Type,Receptacle Type,Operational Mode,Fitting/Connector Type,Body Type,Color,Trim Material,Lumens,Seal Material,Suitable For Use With,Coil Voltage,Height (In.),Main/Run Size,Title,Control Range,Staple Size,Number of Bolt Holes,Housing Length,Backing Material,Ballast Load,Insulated,Wattage,Legend,Thickness,Insulation Type,Average Ft,THREAD SIZE,Bend Radius,Cleat Type,Differential,Inside Diameter,End Connection Type,Barrel Size,image,Height,Hub Type,ELEMENT SIZE,Run Size,Cable Entry Size,Temperature Rating,Working Pressure,Connection,Interrupt Rating
,,,,,,,,,,,,,,1 in,,,,,,,,,,$5.16,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBRS%2B1XCL/Merit%2BBrass%2BCompany_1%2BX%2BCL%2B2200%2BBRASS%2BPIPE%2BNIPPLE%2B%2B%2B%2B%2B%2B%2B4422372,89,,Piping & Fittings,,,,,,,,,1 X CL 2200 BRASS PIPE NIPPLE       4422372,,,,,,,,,"Description
Merit Brass Pipe Nipple, 1 in Nominal, MNPT, Close Length, SCH 40/STD, Seamless, Brass, Red, Domestic
Standards/Approval:
ASTM B687-88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,Close,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP BRS 1XCL,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404007379,,,,,,,,,,,,,Seamless,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,2016-001,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,1 X CL 2200 BRASS PIPE NIPPLE       4422372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$2.47,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BGAL%2B1%252F2X2/ASC%2BEngineered%2BSolutions_1%252F2%2BX%2B2%2BSCH40%2BGALV%2BPIPE%2BNIPPLE,232,,Piping & Fittings,,,,,,,,,1/2 X 2 SCH40 GALV PIPE NIPPLE,,,,,,,,,"Description
Anvil® Pipe Nipple, 1/2 in Nominal Size, 2 in Length, SCH 40/STD, Steel, Galvanized, Domestic",,,Galvanized,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,2 in,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4138262,,NIP GAL 1/2X2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,64444400608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,12X2SGN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 X 2 SCH40 GALV PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20GAL%201%2F2X2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1-1/4 in,,,,,,,,,,$6.20,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B1-1%252F4X4/ASC%2BEngineered%2BSolutions_1-1%252F4%2BX%2B4%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,169,,Piping & Fittings,,,,,,,,,1-1/4 X 4 SCH40 BLK PIPE NIPPLE,,,,,,,,,"Description
Beck® Pipe Nipple, 1-1/4 in Nominal, 4 in Length, SCH 40/STD, Steel, Black
Features:
ASTM A-53 Welded Steel Pipe Material",,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,4 in,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4129863,,NIP BLK 1-1/4X4,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,64444400215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114X4SBN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/4 X 4 SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201-1%2F4X4&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,FIG 338,,,,$4.15,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BXH%2B1%252F2X3/ASC%2BEngineered%2BSolutions_1%252F2%2BX%2B3%2BSCH80%2BBLK%2BPIPE%2BNIPPLE,240,,Piping & Fittings,,,,,,,,,1/2 X 3 SCH80 BLK PIPE NIPPLE,,,,,,,,,"Description
Beck® Pipe Nipple, Series: FIG 338, 1/2 in Nominal Size, MNPT, 3 in Length, SCH 80/XH, Welded, Steel, Black, 0.84 in OD
Standards/Approval:
ASME B1.20.1",,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 80/XH,,,,,3 in,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4160267,,NIP XH 1/2X3,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,0.84 in OD,,,,,,,,,,,,64444401110,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12X3XBN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 X 3 SCH80 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20XH%201%2F2X3&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1-1/4 in,,,,,,,,,,$7.15,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BXH%2B1-1%252F4XCL/ASC%2BEngineered%2BSolutions_1-1%252F4%2BX%2BCL%2BSCH80%2BBLK%2BPIPE%2BNIPPLE,174,,Piping & Fittings,,,,,,,,,1-1/4 X CL SCH80 BLK PIPE NIPPLE,,,,,,,,,"Description
Beck® Pipe Nipple, 1-1/4 in Nominal Size, Close Length, SCH 80/XH, Steel, Black",,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 80/XH,,,,,Close,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4145186,,NIP XH 1-1/4XCL,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,64444401210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114XCXBN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/4 X CL SCH80 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20XH%201-1%2F4XCL&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,3 x 2 in,,,,,,P107,,,,$5.11,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BPVCD%2B3X2/Spears_3%2BX%2B2%2BPVC-DWV%2BSXS%2BBUSHING%2BP107-338,161,,Piping & Fittings,,,,,,,,,3 X 2 PVC-DWV SXS BUSHING P107-338,,,,,,,,,"Description
Spears® P107-338, Flush, P107, Bushing Fitting/Connector, 3 x 2 in Nominal, Spigot x Hub End Style, 1-3/4 in Length, Molded Method of Manufacture, PVC, White, Domestic/Import: Domestic
Standards/Approval:
ASTM D2665
ASTM D3311
ASTM D1784
ASTM F1866
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3/4 in,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5520507,,BUSH PVCD 3X2,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,Flush,,,,,,,054211171738,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,P107-338,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Spigot x Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,White,,,,,,,,3 X 2 PVC-DWV SXS BUSHING P107-338,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20PVCD%203X2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,3/4 in,,,,,,,,,,$7.65,,,,,,,,,,,,,,,,,https://kscdirect.com/item/TEE%2BBRS%2BROU%2B3%252F4%2BLF/Merit%2BBrass%2BCompany_3%252F4%2B72230%2BROUGH%2BBRASS%2BTEE%2B5422074%2BLead%2BFree%2B%2528XNL106-12%2529,61,,Piping & Fittings,,,,,,,,,3/4 72230 ROUGH BRASS TEE 5422074 Lead Free (XNL106-12),,,,,,,,,"Description
Merit Brass Straight Pipe Tee, Lead Free, Fitting/Connector Type: Tee, 3/4 in Nominal, FNPT, SCH 40/STD, 125 lb, 125 To 200 psi, Brass, Rough, -20 to 400 deg F, Import
Features:
Lead free
Standards/Approval:
ANSI/ASME B16.14/B15.15/B16.18/B1.20.1
ASTM 584-06A
Prop 65 Warning: This product can expose you to Lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,Rough,,,,,,,,,,,,,,,,,,,,125 To 200 psi,,,,,,SCH 40/STD,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5767345,,TEE BRS ROU 3/4 LF,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404119935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 lb,,,,Import,,,,,,XNL106-12,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Tee,,,,,,,,,,3/4 72230 ROUGH BRASS TEE 5422074 Lead Free (XNL106-12),,,,,,,,,,,,,,,,,,,,,,,,,,-20 to 400 deg F,,,
,,,,,,,,,,,,,,,,,,,,,,,,$2.59,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PIPE%2BBLK%2BPE%2B3%252F4/Approved%2BSupplier_3%252F4%2BBLK%2BSCH40%2BPIPE%2BPE,2142.32,,Piping & Fittings,,,,,,,,,3/4 BLK SCH40 PIPE PE,,,,,,,,,"3/4 BLK SCH40 PIPE PE
View catalog page
Keywords: WHEATL PIPE BLK PE 3/4  WHEATLAND TUBE COMPANY LACLED00050          3/4 BLK SCH40 PIPE PE
Category:
[0] => PIPE & TUBING => STEEL PIPE => SCH 40 BLACK PIPE - PLAIN END
[1] => SUPPLIER DIRECTORY => WHEATLAND TUBE COMPANY => PIPE & TUBING => STEEL PIPE => SCH 40 BLACK PIPE - PLAIN END
Kelly Legacy Part Number: 1041505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPE BLK PE 3/4,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,Pipe Nipple BLK 3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34SBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 BLK SCH40 PIPE PE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=PIPE%20BLK%20PE%203%2F4&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1/4 in,,,,,,,,,,$2.54,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2B304%2B1%252F4X4/Merit%2BBrass%2BCompany_1%252F4%2BX%2B4%2BSCH%2B40%2BTYPE%2B304%2BSS%2BNIPPLE,167,,Piping & Fittings,,,,,,,,,1/4 X 4 SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,"Description
Merit Brass Pipe Nipple, 1/4 in Nominal, MNPT, 4 in Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,4 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP 304 1/4X4,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404026448,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,4004-400,,,,,304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 X 4 SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%201%2F4X4&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$0.75,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BBRS%2BBAR%2B1%252F4X1%252F8/MID-AMERICA%2BFITTINGS%2BINC_1%252F4%2BX%2B1%252F8%2B%2528110-42%2529%2BBAR%2BSTOCK%2BBRASS%2BHEX%2BBUSH,267,,Piping & Fittings,,,,,,,,,1/4 X 1/8 (110-42) BAR STOCK BRASS HEX BUSH,,,,,,,,,"1/4 X 1/8 110 BAR STOCK BRASS HEX BUSH
View catalog page
Keywords: MIAMFI BUSH BRS BAR 1/4X1/8  MID-AMERICA FITTINGS INC MIAMFI01570          1/4 X 1/8 110 BAR STOCK BRASS HEX BUSH
Category:
[0] => FITTINGS => BARSTOCK BRASS PIPE FITTINGS => HEX BUSHINGS
[1] => SUPPLIER DIRECTORY => MID-AMERICA FITTINGS INC => MID-AMERICA FITTINGS SECTION 80 => FITTINGS => BARSTOCK BRASS PIPE FITTINGS => HEX BUSHINGS
Kelly Legacy Part Number: 1065516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MID-AMERICA FITTINGS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUSH BRS BAR 1/4X1/8,,,,,,,,,,,,,,,,,,,,,,,,MID-AMERICA FITTINGS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 X 1/8 (110-42) BAR STOCK BRASS HEX BUSH,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BRS%20BAR%201%2F4X1%2F8&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,3/4 in,,,,,,,,,,$3.57,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B3%252F4X3-1%252F2/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2B3-1%252F2%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,234,,Piping & Fittings,,,,,,,,,3/4 X 3-1/2 SCH40 BLK PIPE NIPPLE,,,,,,,,,"Description
Anvil® Pipe Nipple, 3/4 in Nominal Size, 3-1/2 in Length, SCH 40/STD, Steel, Black, Domestic
Features:
ASTM A-53 Welded Steel Pipe Material",,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,3-1/2 in,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4134614,,NIP BLK 3/4X3-1/2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,64444400146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,34X35SBN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 X 3-1/2 SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%203%2F4X3-1%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$3.42,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BXH%2B1%252F2X1-1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BX%2B1-1%252F2%2BSCH80%2BBLK%2BPIPE%2BNIPPLE,264,,Piping & Fittings,,,,,,,,,1/2 X 1-1/2 SCH80 BLK PIPE NIPPLE,,,,,,,,,"Description
Anvil® Pipe Nipple, 1/2 in Nominal Size, 1-1/2 in Length, SCH 80/XH, Steel, Black, Domestic",,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 80/XH,,,,,1-1/2 in,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4140743,,NIP XH 1/2X1-1/2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,64444401107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,12X15XBN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 X 1-1/2 SCH80 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20XH%201%2F2X1-1%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1-1/2 in,,,,,,P106,,,,$2.39,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PLUG%2BPVCD%2B1-1%252F2/Spears_1-1%252F2%2BPVC-DWV%2BTHREADED%2BPLUG%2BP106-015,227,,Piping & Fittings,,,,,,,,,1-1/2 PVC-DWV THREADED PLUG P106-015,,,,,,,,,"Description
Spears® P106-015, P106, Plug Fitting/Connector, 1-1/2 in Nominal, MNPT End Style, 1-5/16 in Length, Molded Method of Manufacture, PVC, White, Domestic/Import: Domestic
Standards/Approval:
ASTM D2665
ASTM D3311
ASTM D1784
ASTM F1866
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-5/16 in,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5509306,,PLUG PVCD 1-1/2,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,054211170816,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,P106-015,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Plug,,White,,,,,,,,1-1/2 PVC-DWV THREADED PLUG P106-015,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=PLUG%20PVCD%201-1%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$2.95,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B1%252F2X3-1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BX%2B3-1%252F2%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,255,,Piping & Fittings,,,,,,,,,1/2 X 3-1/2 SCH40 BLK PIPE NIPPLE,,,,,,,,,"Description
Anvil® Pipe Nipple, 1/2 in Nominal Size, 3-1/2 in Length, SCH 40/STD, Steel, Black, Domestic",,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,3-1/2 in,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4136800,,NIP BLK 1/2X3-1/2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,64444400111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,12X35SBN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 X 3-1/2 SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201%2F2X3-1%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$2.15,,,,,,,,,,,,,,,,,https://kscdirect.com/item/CAP%2B304%2B1%252F2/Merit%2BBrass%2BCompany_1%252F2%2B150%2523%2BTYPE%2B304%2BSS%2BCAP,207,,Piping & Fittings,,,,,,,,,1/2 150# TYPE 304 SS CAP,,,,,,,,,"Description
Merit Brass Pipe Cap, Banded, Fitting/Connector Type: Cap, 1/2 in Nominal, FNPT, 0.83 in Length, 150 lb, 304/304L Stainless Steel, 100 deg F, 1.07 in OD, Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5767745,,CAP 304 1/2,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,1.07 in OD,,,,,Banded,,,,,,,671404095994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Import,,,,,,K416-08,,,,,304/304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Cap,,,,,,,,,,1/2 150# TYPE 304 SS CAP,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=CAP%20304%201%2F2&mdx=300,,,,,,100 deg F,,,
